review,recommended,helpful_or_not,playtime_at_review
Beware: Abandoned with lots of bugs and little content.,False,5,293
"great fun, turn based space stuff",True,2,272
After about 30 minutes of base building this game is very bad,False,4,336
"its a game, seems like a half finished thought. as of writing its a $10 game, i could see getting 10 bucks worth of entertainment out of it. but there are likely better options out there that explore this genre",False,8,388
I Love this game!,True,1,8435
Abandonware full of bugs and very little content. Avoid.,False,17,811
"no it's not abandoned they're just giving it a couple decades, trust",False,15,232
"I don't understand how they're still allowed to sell this, tbh",False,14,169
"I'll say it now, Space Base DF-9 is actually quite a nice game. its a little buggy but it has quite the charm otherwise.",True,1,359
Its good loved it when way back,True,1,377
"It stands as the ghost of abandoned promises, floating forever in early access purgatory. Pure abandonware with bugs crawling all over it, a half baked tech demo left to rot. To say the least, double fine is definitely doubly not fine.",False,12,772
Bought the game early access way back when and was at first happy with my purchase. However the game was abandoned before reaching any kind of completed state. I am only leaving this review because I am surprised to see that it is still for sale.   Double Fine does not support this game in the least and left it up to the community to finish it. They should be ashamed of themselves to leave this on the store for customers to purchase without clearly labeling it as unfinished.,False,5,6822
"Not finished and abandoned by the developer.
I expected way better from Double Fine back in the day.

Steam should stop selling this game or put an abandoned, or some other warning on the store.",False,17,955
"A promising premise turned abandonware by Double Fine of all companies. 

Truly a testament to the quality of Tim Schafer as a leader, while people may celebrate the quirky studio's successes this game is a true indication of what they think of their customers. 

Where is my damn refund you thieves?",False,8,343
Abandoned before finished.,False,7,429
Abandonware.,False,3,1826
This game had so much potential. It was never finished. It's been almost 9 years since I bought this game and I'm still so disappointed that I'm taking the time to write this negative review.,False,36,1223
Abandoned in 2015 with a fraction of promised content added and plenty of bugs left behind.,False,15,169
"[h3]If you look up the definition of broken and mediocre games, this game should be front and center...[/h3]
Abandoned and gutted before its time. I got this in a bundle of Double Fine games and felt that I at least had to try it out to see if the overwhelmingly negative score was corrected, and yea, it totally deserves it.. Ironically enough, Tim Schafer has some absolute bangers in his hall of fame with Monkey Island, Psychonauts and Day of the Tentacle to name some of the most prolific, and then there are the likes of Hack N Slash and Spacebase DF-9. Sure, this is the work of Double Fine which one could argue is a whole different company from his earlier works, but still, one starts to wonder how it could go so completely sideways. 

This game is centered around building and building a spacebase (no surprise there) while gathering an oddball crew of workers to populate it and raid mysterious space hulks in the vicinity. This sounds great on paper, but the game is janky, broken and most importantly unfinished and if it were not for the great work of the community putting out patch after patch to polish it up to a decent standard this would be a complete waste of space in my library. 

[b]Conclusion:[/b]Avoid and do not bother, there are far better games out there for this price. The fact that this game is still available to buy for 10€ is a scam, in my humble opinion. Somewhere in its DNA is the glimmer of a great game that never manifested itself, and instead we get an infested scrapcode filled with the broken dreams of all those who were left behind..",False,37,277
"BIG DUCK YOU, DOUBLE FINE",False,0,71
"Iconic classic game, still awesome to come back to even in 2025. Wish they would make a sequel or expand on the game in some way. Most fun city builder game I've ever played.",True,4,2348
"Great concept... and then, while half-finished, it was released and forgotten about.  Disappointing release from the developers who made so many good games.",False,2,231
Abandonware,False,14,179
"Seems like a good product with a lot of content and good music. 
I haven't tried it yet, but a community guide says it's a good idea to download the community patch.

Feelings: 90s bullfrog (theme hospital), Star Trek.",True,4,97
"The game was abandoned midway through development and is a candidate for one of the poster children of what you bring up when someone asks for examples of why early access can be a bad thing. It was left as a buggy, unfinished mess a decade ago and somehow has never been pulled from the store.

Even on sale, there are far better games to spend your time and money on.",False,20,781
Unfinished Abandonware.,False,8,190
"Abandonware trash, don't ever support Double Fine ever again.",False,3,409
Double Fine? More like doubling abandoning an early access game.,False,8,1269
"This is the game that taught me never to buy a title in early access. What was delivered as a final product is missing many promised features, and is an unstable mess... I was willing to deal with the bugs when it was being worked on but for a final product this is unacceptable. I haven't bought any other games from Double fine, and will continue to skip any game they make/produce.",False,19,5640
"Bit late, but by all the stale dingleberries of Tim's Schaffer's chaffed butthole, don't buy this unfinished scam.",False,12,58
"Unfinished and abandoned. No reason to waste your money on this game at all.

This game had potential to be great but it was kneecapped from the beginning. Every stage from Alpha, Beta, and Full Release is nothing like what it was supposed to be. With barebones development it was just abandoned without announcement that they were giving up on adding all the things they said they were going to do as described. Most of the systems are there in the most minimal effort way.",False,0,307
"11 bloody years and still pissed off. Fortunately, I never bought any games from Double Fine Productions before this, and I never will.",False,20,974
"Another ABANDONWARE title.

The utterly shameless developer abandoned the game in a half finished state, claimed that it is the community's privilege to finish a product they expect you to pay for. 
This game, while fun, is buggy and incomplete and certainly not worth any money.",False,35,664
pretty confusing,False,0,11
"I made them all fight to the last one standing in space.

4/10",False,2,35
Great game but unfinished. I bought it because I thought there is no way Tim Schaffer is going to abandon it. I was wrong.  He should make the game code open source so fans can continue it since he's not going to do anything with it.,False,8,393
The Biggest Scam Double-fine ever sold.,False,18,796
"I have nothing new to contribute but the game probably could have been good if it was finished, so as of now, definitely a no-go.",False,10,108
I love everything about this game except that it wasn't finished. I'd recommend purchasing if it wasn't unfinished. Unfortunately we'll never see it fully finished.,False,13,324
"This game was abandoned in an alpha state in Early Access. It should not be available for sale at all never-mind discounted.
So much potential wasted. Go buy Space Haven instead.",False,37,308
"Just go play Startopia, this game simply isn't that good even with the unofficial patch.",False,10,273
"My play time is real, this is the best game I own when it works! Build a space station, manage your crew and rehabilitate raiders which make the best security guards. Its like Prison Architect meets rimworld and does stuff Space Haven wishes it could.... When it works, sometimes fires just start and people start fighting and die, and theres always alien bugs popping out of peoples chests so morale gets real low real fast and people start failing to thrive... My best playthrough I had a crack team of Raider security specialists, all the best professions, and all the resources I could ask for, but I still died because raiders got to my power generator and oxygen recyclers went down. Its the best game ever but it isn't finished and sometimes you get really commited to a colony build just to have a fire bug and eat all the oxygen forever untill everyone suffocates.",True,3,11199
"Really fun game, but it got abandoned so the problems it has won't be going away.
Can definitely get more than 10 hours out of it. Also I think someone mad a mod for the game to fix a lot of issues so look that up. (Spacebase DF9 Unofficial Final Patch 1.09)",True,11,692
"[u]Review[/u]

This is such a good game that was never finished by the devs. It really is a shame that this was never completed, as it really is a great game that is extremely addicting. One can dream that Double Fine picks this back up again some day. As of right now, this game is unpolished and unfinished, and thus, isn't worth your money.

[u]Rating[/u]

★★☆☆☆",False,12,1001
This straight up shouldn't be sold. Calling it an alpha demo would be generous.,False,11,309
"This is the last game I bought in an early access state. 
The ""game"" has been abandoned in alpha state and should be removed from the store.",False,23,453
Abandoned by the developers in early access,False,9,191
"This steaming pile of ♥♥♥♥♥♥♥ is on sale right now.
I would pay to have this removed from my library and memory.",False,8,393
It's a crime that this game is still being sold!,False,18,283
Ick.,False,3,960
Unfinished & Abandoned,False,7,559
"Rimworld literally has workshop mods that  made this game.  Ive seen free web games with more depth and complexity. 

Other reviews say it better, cruddy company and even worse game.",False,6,825
"Wow, this dumpster fire is still for sale for 10 bones. This is a buggy incomplete mess that needs to be finished or taken down.",False,2,1448
"I remember when I was a wee lad and bought this game. After spending my parents hard earned sheckles, I booted it up played for a few hours and was disappointed to find a turd sandwich. 10 years later this game is still a turd sandwich.",False,17,361
Third best game on steam,True,0,186
You know you can still finish this right? Morally bankrupt company.,False,13,370
I got Double Scammed.,False,14,618
"Was just going to check this out quickly. Still playing. fun. intuitive, not over complicated while allowing me to do things freely and logically. so far.",True,2,54
"Game is unfinished, buy space haven instead, it has way more to offer than this",False,22,260
100% cut and run scam of a game. Unfinished and never will be. Games like this should be auto pulled from Steam and refunded. This is why I wont buy another game from Double Fine ever again.,False,25,221
"I really enjoyed this game when it came out.  Yes, there were a lot of bugs, but the concept was nice.  To find out later that the developer abandoned this game and laid off the team that was working on it was a gut punch.  The stupidity of the decision makers for this was so surprising in one way, but on the other hand, not so much.  When this game was put into early release and added on Steam, you truly expect the developer to do their best to make sure that the product is up to snuff for a commercial release.  What Double Fine Productions did was rush out an unfinished product because they did not see the sales number in early release that they were expecting.  The condition that they put this game in for early release was not very good and there were a lot of bugs.  If this is just some prototype that they came up with in a brainstorm, what they called Amnesia Fortnight, then it should have stayed in Alpha and finished more before releasing it into early access on Steam.  What Double Fine should have done was refund everyone their money back because they did not release the product that they were promising.  After this debacle, management should have been let go.  Since the release of this game, I have never and will never by a game that this company has developed or published.  I also cannot believe that this game is still up for sale on Steam and that is has not been taken down yet.  Unfinished commercial releases should be against the Steam ToS, but everyone will keep trying to rake in some money, even from unfinished crap.",False,16,750
"Abandoned, but BUY SPACE HAVEN!",False,12,768
"it's definitely not finished, but that was sort of the point. it's a prototype of a game from Amnesia Fortnight 2012",True,0,670
Sigh,False,2,1456
"Abandoned game, buy Space Haven instead, game is still alive and getting updated.",False,13,341
"The idea is very good, but sadly the game is unfinished and becomes unplayable in a short period of time. Dont buy it",False,5,621
"Spacebase is surprisingly rough round the edges for a Double Fine game, and feels unfinished. I would be optimistic if this was an early access build, but it's been out for 10 years. A game in the Double Fine catalog obviously best left avoided.",False,5,24
I simply cannot believe this game is still for sale.,False,14,1139
The potted plant does what? What about the other things like beds. Do they give a bonus if assigned? Does it matter if they are in a large room with many beds or does everyone want a room of their own? What.. I have search outside of the game for information..... lame.,False,3,116
"I loved this game till i didn't.
would not recommend!",False,2,1056
‎,True,3,953
